#L=%d, T=%.2f 
# E     M 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-140.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-156.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-160.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-152.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
-148.00 12345.00 
